15645,36,Tokyo Tattoo Girls,VITA
15638,39,Drive Girls,VITA
12613,41,Lets Fish! Hooked On,VITA
12800,44,Chronovolt,VITA
12805,44,Ridge Racer,VITA
12586,48,Valhalla Knights 3,VITA
14054,48,The Muppets: Movie Adventures,VITA
12778,49,Dungeon Hunter: Alliance,VITA
12783,49,Asphalt: Injection,VITA
15242,18,SPOGS Racing,WII
15442,25,Game Party,WII
15444,25,Cruis'n,WII
15441,26,Jenga World Tour,WII
15439,27,Chicken Shoot,WII
15440,27,Looney Tunes: Acme Arsenal,WII
15239,29,Game Party 2,WII
15400,31,CID The Dummy,WII
15437,32,Pool Party,WII
15233,33,Target: Terror,WII
12837,11,Family Party: 30 Great Games Obstacle Arcade,WIIU
12835,24,Game Party Champions,WIIU
12830,31,ESPN Sports Connection,WIIU
11272,32,Sonic Boom: Rise of Lyric,WIIU
12616,40,Adventure Time: Explore the Dungeon Because I DON'T KNOW!,WIIU
12808,43,Ben 10: Omniverse,WIIU
14070,43,Devil's Third,WIIU
12797,45,Tank! Tank! Tank!,WIIU
14066,45,Rodea the Sky Soldier,WIIU
14061,46,Animal Crossing: amiibo Festival,WIIU
12641,17,Double Dragon II: Wander of the Dragons,X360
15446,17,Yaris,X360
12640,19,Ride to Hell: Retribution,X360
12639,22,Fast & Furious: Showdown,X360
12834,25,AMY,X360
15407,25,Leisure Suit Larry: Box Office Bust,X360
15409,25,NBA Unrivaled,X360
15203,26,Deca Sports Freedom,X360
11275,28,Rambo: The Video Game,X360
15404,28,Rogue Warrior,X360
14847,22,Drake of the 99 Dragons,XBOX
14845,24,Pulse Racer,XBOX
14844,25,Batman: Dark Tomorrow,XBOX
14841,26,Stake: Fortune Fighters,XBOX
14842,26,Aquaman: Battle for Atlantis,XBOX
15588,28,Sneakers,XBOX
14410,30,Robocop,XBOX
15504,30,Crime Life: Gang Wars,XBOX
10552,32,Kabuki Warriors,XBOX
15503,32,Land of the Dead: Road to Fiddler's Green,XBOX
12638,23,Fighter Within,XONE
14557,30,Soda Drinker Pro,XONE
13418,32,Gene Rain,XONE
14080,32,Giana Sisters: Dream Runners,XONE
14554,32,Ghostbusters,XONE
13415,34,Past Cure,XONE
13416,34,Agony,XONE
14551,35,7 Days to Die,XONE
12627,36,NBA Live 14,XONE
14077,38,Project Root,XONE
