133,86,Final Fantasy X / X-2 HD Remaster,VITA
744,97,Super Mario Galaxy 2,WII
1166,97,Super Mario Galaxy,WII
1102,95,The Legend of Zelda: Twilight Princess,WII
1304,94,World of Goo,WII
258,93,The Legend of Zelda: Skyward Sword,WII
1307,93,Super Smash Bros. Brawl,WII
273,92,Rayman Origins,WII
455,92,Xenoblade Chronicles,WII
1311,92,Rock Band 2,WII
778,91,Rock Band 3,WII
358,96,The Legend of Zelda: Breath of the Wild,WIIU
7,93,Super Mario 3D World,WIIU
9,92,Rayman Legends,WIIU
70,92,Super Smash Bros. for Wii U,WIIU
72,91,Bayonetta 2,WIIU
15,90,The Legend of Zelda: The Wind Waker HD,WIIU
89,90,Guacamelee! Super Turbo Championship Edition,WIIU
529,90,Mario Kart 8 DLC Pack 2,WIIU
19,89,Skylanders Swap Force,WIIU
326,89,Axiom Verge,WIIU
1302,98,Grand Theft Auto IV,X360
2,97,Grand Theft Auto V,X360
250,96,The Elder Scrolls V: Skyrim,X360
767,96,Mass Effect 2,X360
1176,96,BioShock,X360
1177,96,The Orange Box,X360
252,95,Portal 2,X360
769,95,Red Dead Redemption,X360
254,94,Batman: Arkham City,X360
893,94,Call of Duty: Modern Warfare 2,X360
1003,97,Halo: Combat Evolved,XBOX
1655,96,Grand Theft Auto Double Pack,XBOX
1503,95,Halo 2,XBOX
1504,94,Burnout 3: Takedown,XBOX
1661,94,Star Wars: Knights of the Old Republic,XBOX
1805,94,Ninja Gaiden Black,XBOX
1806,94,Tom Clancy's Splinter Cell Chaos Theory,XBOX
1506,93,Tom Clancy's Splinter Cell Pandora Tomorrow,XBOX
1809,93,Grand Theft Auto: San Andreas,XBOX
2307,93,Tony Hawk's Pro Skater 3,XBOX
201,98,Red Dead Redemption 2,XONE
57,97,Grand Theft Auto V,XONE
482,95,Metal Gear Solid V: The Phantom Pain,XONE
204,94,Celeste,XONE
206,93,Divinity: Original Sin II - Definitive Edition,XONE
291,93,INSIDE,XONE
207,92,Forza Horizon 4,XONE
361,92,What Remains of Edith Finch,XONE
213,91,Dead Cells,XONE
295,91,Overwatch,XONE
